Category1,Subcategory1,Description1,Category2,Subcategory2,Description2,Similarity,Formatted_Output
Yard guidance,Vertebrate pests,"Animals or pests that damage lawns, moles, voles, rabbits, deer, how to address vertebrate pests",Yard guidance,Yard pests,"Pests like ants, mosquitoes, ticks, fleas, how to address yard pests that affect humans or pets",0.95073676,"95.1%   @@   Yard guidance/Vertebrate pests   ##   Yard guidance/Yard pests
Animals or pests that damage lawns, moles, voles, rabbits, deer, how to address vertebrate pests   %%   Pests like ants, mosquitoes, ticks, fleas, how to address yard pests that affect humans or pets"
Yard guidance,Insects,"Insect pests of lawns or gardens, grubs, armyworms, chinch bugs, how to address insect issues",Yard guidance,Yard pests,"Pests like ants, mosquitoes, ticks, fleas, how to address yard pests that affect humans or pets",0.93555844,"93.6%   @@   Yard guidance/Insects   ##   Yard guidance/Yard pests
Insect pests of lawns or gardens, grubs, armyworms, chinch bugs, how to address insect issues   %%   Pests like ants, mosquitoes, ticks, fleas, how to address yard pests that affect humans or pets"
Yard guidance,Insects,"Insect pests of lawns or gardens, grubs, armyworms, chinch bugs, how to address insect issues",Yard guidance,Vertebrate pests,"Animals or pests that damage lawns, moles, voles, rabbits, deer, how to address vertebrate pests",0.9352627,"93.5%   @@   Yard guidance/Insects   ##   Yard guidance/Vertebrate pests
Insect pests of lawns or gardens, grubs, armyworms, chinch bugs, how to address insect issues   %%   Animals or pests that damage lawns, moles, voles, rabbits, deer, how to address vertebrate pests"
Yard guidance,Spots or patches,"How to address spots or patches in the lawn, brown or yellow patches, thinning grass, dying grass, bare spots",Yard guidance,Disease,"Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases",0.92608726,"92.6%   @@   Yard guidance/Spots or patches   ##   Yard guidance/Disease
How to address spots or patches in the lawn, brown or yellow patches, thinning grass, dying grass, bare spots   %%   Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases"
Yard guidance,Seeding,"When to seed lawn, best time to seed, unique seeding dates for the user, choosing the right grass seed for the lawn, recommendations for seed, best grass or seed types for lawn, identify grass in the lawn, seeding preparation, how to seed, step by step how to seed, seeding best practices, care after seeding to be successful, troubleshooting and problem solving seeding and germination issues, poor seed growth, conditions affecting seeding success",Yard guidance,Weed control,"When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss",0.9225313,"92.3%   @@   Yard guidance/Seeding   ##   Yard guidance/Weed control
When to seed lawn, best time to seed, unique seeding dates for the user, choosing the right grass seed for the lawn, recommendations for seed, best grass or seed types for lawn, identify grass in the lawn, seeding preparation, how to seed, step by step how to seed, seeding best practices, care after seeding to be successful, troubleshooting and problem solving seeding and germination issues, poor seed growth, conditions affecting seeding success   %%   When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss"
Yard guidance,Insects,"Insect pests of lawns or gardens, grubs, armyworms, chinch bugs, how to address insect issues",Yard guidance,Disease,"Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases",0.91790736,"91.8%   @@   Yard guidance/Insects   ##   Yard guidance/Disease
Insect pests of lawns or gardens, grubs, armyworms, chinch bugs, how to address insect issues   %%   Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases"
Yard guidance,Weed control,"When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss",Sunday products,Instructions,"What to do with received product, how to apply or use individual products, how to use sprayers with hose, how to use up the product in the container, how much a product covers, where to apply product, sequence of Sunday product applications, order or sequence or steps of using provided products like fertilizer (e.g. Grass Powerhouse, Fall Fortify, Potassium Boost, Core Seagreen), weed control (e.g. Dandelion Doom, Weed Warrior), or grass seed, how to use products in the right order, sequence of Sunday product applications with other lawn care practices, how to time Sunday products with other lawn care practices like watering, aerating, or mowing, using Sunday products with non-Sunday lawn and garden products",0.90753305,"90.8%   @@   Yard guidance/Weed control   ##   Sunday products/Instructions
When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss   %%   What to do with received product, how to apply or use individual products, how to use sprayers with hose, how to use up the product in the container, how much a product covers, where to apply product, sequence of Sunday product applications, order or sequence or steps of using provided products like fertilizer (e.g. Grass Powerhouse, Fall Fortify, Potassium Boost, Core Seagreen), weed control (e.g. Dandelion Doom, Weed Warrior), or grass seed, how to use products in the right order, sequence of Sunday product applications with other lawn care practices, how to time Sunday products with other lawn care practices like watering, aerating, or mowing, using Sunday products with non-Sunday lawn and garden products"
Yard guidance,Weed control,"When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss",Yard guidance,Disease,"Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases",0.90713936,"90.7%   @@   Yard guidance/Weed control   ##   Yard guidance/Disease
When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss   %%   Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases"
Yard guidance,Weed control,"When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss",Yard guidance,Garden plant care,"Garden plants like vegetables, flowers, or shrubs, how to care for garden plants, how to grow vegetables or flowers, how to address issues with garden plants, how to grow a garden, how to care for a garden, how to grow specific plants in the garden",0.9068924,"90.7%   @@   Yard guidance/Weed control   ##   Yard guidance/Garden plant care
When to treat weeds, best time to treat weeds, unique weed treatment dates for the user, timing weed control with weather, choosing the right weed control product, preemergent weed control, recommendations for weed control, best weed control products for lawn, how to eliminate or prevent specific weeds or weeds in general, how to address weed issues, identifying weeds in the lawn, what are the weeds in the lawn, how to identify weeds, note weeds includes broadleaves, sedges, grass weeds, and moss   %%   Garden plants like vegetables, flowers, or shrubs, how to care for garden plants, how to grow vegetables or flowers, how to address issues with garden plants, how to grow a garden, how to care for a garden, how to grow specific plants in the garden"
Yard guidance,Disease,"Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases",Yard guidance,Grass types,"Lawn grass identification, guidance for managing a specific lawn grass species, not grassy weeds",0.9036472,"90.4%   @@   Yard guidance/Disease   ##   Yard guidance/Grass types
Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases   %%   Lawn grass identification, guidance for managing a specific lawn grass species, not grassy weeds"
Yard guidance,Soil problems,"Soil quality or drainage issues, soil questions related to lawn health, hard or compacted soil",Yard guidance,Disease,"Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases",0.9019316,"90.2%   @@   Yard guidance/Soil problems   ##   Yard guidance/Disease
Soil quality or drainage issues, soil questions related to lawn health, hard or compacted soil   %%   Lawn or garden diseases, large patch or brown patch, mushrooms in lawns, how to address or prevent diseases"
